ID,Country,Departure City,Destination City,Price,iGV Fee,OGV Fee,iGTa Fee,OGTa Fee,iGTe Fee,OGTe Fee,iGV,oGV,iGTa,oGTa,iGTe,oGTe
1592,Austria,Vienna,Colombo,957,500,349,500,399,0,399,6,8,14,8,0,1
1593,Bolivia,Sucre,Colombo,5110,97.20760704,313.3483035,558.4563098,445.6509205,558.4563098,445.6509205,41,47,2,23,0,1
1594,Hong Kong,Hong Kong,Colombo,374,0,340.1738375,0,494.7983091,0,494.7983091,1,76,1,6,0,0
1595,Croatia,Zagreb,Colombo,994,20,106,0,225,0,157,9,2,0,1,0,0
1596,Germany,Berlin,Colombo,744,170,400,900,450,0,450,29,156,117,26,0,5
1597,France,Paris,Colombo,926,0,321.038765,0,370.4293442,0,0,0,11,1,14,0,0
1598,Netherlands,Amsterdam,Colombo,996,0,349,0,349,0,349,0,217,44,21,0,0
1599,Dominican Republic,Santo Domingo,Colombo,2095,0,252.0814061,241.7514647,323.0033919,241.7514647,323.0033919,0,3,2,1,2,0
1601,Sweden,Stockholm,Colombo,1153,0,357.6078112,894.0195279,357.6078112,0,491.7107403,0,0,8,0,0,0
1602,Uganda,Kampala,Colombo,867,336,72,0,96,0,96,98,5,0,1,0,1
1603,Pakistan,Islamabad,Colombo,769,0,82.56883366,34.40368069,103.2110421,34.40368069,103.2110421,0,139,11,22,0,6
1604,Philippines,Manila,Colombo,342,265.9153763,132.9576882,0,0,0,0,8,9,0,1,0,1
1605,Senegal,Dakar,Colombo,2078,77.10219172,92.52263006,0,100.2328492,77.10219172,100.2328492,0,1,0,0,0,0
1606,Brazil,Brasilia,Colombo,2097,78.40610276,383.7945786,240.4893068,420.0326934,240.4893068,443.0933118,196,192,50,141,6,23
1607,Thailand,Bangkok,Colombo,304,185.3616537,342.2061299,0,0,0,0,139,22,0,0,0,0
1609,Egypt,Cairo,Colombo,646,130.8464605,77.86218989,34.18340044,85.4585011,37.98155604,85.4585011,460,375,47,64,35,61
1610,Ukraine,Kyiv,Colombo,1096,138.59088,103.94316,0,115.4924,0,115.4924,0,171,0,41,0,4
